gameName,gameActive,gameIconType,gameIconPath,gameInfo,gameJavaClass,gameParameter
devi mangiare,A,AS,images/racconto.png,devi mangiare,A/DA,devi mangiare
il gatto con gli stivali,A,AS,images/racconto.png,il gatto con gli stivali,A/DA,il gatto con gli stivali
