descrizione,uri,copyright,fromAssets
essere,rootdirectory/essere.png,essere Image Copyright Origin : ARASAAC (http://arasaac.org) Licenza: CC (BY-NC-SA),Y
arrabbiato,rootdirectory/arrabbiato.png,arrabbiato Image Copyright Origin : ARASAAC (http://arasaac.org) Licenza: CC (BY-NC-SA),Y
felice,rootdirectory/felice.png,felice Image Copyright Origin : ARASAAC (http://arasaac.org) Licenza: CC (BY-NC-SA),Y
triste,rootdirectory/triste.png,triste Image Copyright Origin : ARASAAC (http://arasaac.org) Licenza: CC (BY-NC-SA),Y
tornare,rootdirectory/camminaresx.png,tornare Image Copyright Origin : ARASAAC (http://arasaac.org) Licenza: CC (BY-NC-SA),Y
negazione,rootdirectory/non.png,negazione Image Copyright : come questa app,Y
mancante,rootdirectory/punto interrogativo.png,mancante Image Copyright : come questa app,Y
