descrizione,uri,copyright,fromAssets
gatto,rootdirectory/cat-meow-14536.mp3,Sound Effect Copyright Origin : https://pixabay.com/sound-effects/cat-meow-14536/ License : Pixabay License,Y
carrozza,rootdirectory/fiaker-73119.mp3,Sound Effect Copyright Origin : https://pixabay.com/sound-effects/fiaker-73119/ License : Pixabay License,Y
coro,rootdirectory/Hallelujah.mp3,Music Copyright Origin : https://musopen.org/music/download/1222/ Performer : https://musopen.org/music/performer/orchestra-gli-armonici/ License : CC PD,Y
asino,rootdirectory/jumento-101690.mp3,Sound Effect Copyright Origin : https://pixabay.com/sound-effects/jumento-101690/ License : Pixabay License,Y
leone,rootdirectory/lion-roar-6011.mp3,Sound Effect Copyright Origin : https://pixabay.com/sound-effects/lion-roar-6011/ License : Pixabay License,Y
fiume,rootdirectory/river-stream-moderate-flow-2-24370.mp3,Sound Effect Copyright Origin : https://pixabay.com/sound-effects/river-stream-moderate-flow-2-24370/ License : Pixabay License,Y
orco,rootdirectory/scary-laugh-123862.mp3,Sound Effect by SergeQuadrado Origin : https://pixabay.com/sound-effects/scary-laugh-123862/ License : Pixabay License,Y
matrimonio,rootdirectory/Wedding March.mp3,Music Copyright Origin : https://musopen.org/music/download/4032/ Performer : https://musopen.org/music/performer/european-archive/ License : CC PD,Y
