gameName,gameActive,gameIconType,gameIconPath,gameInfo,gameJavaClass,gameParameter,gameUseVideoAndSound,fromAssets
Scambio Immagini tramite Bluetooth,A,AS,images/pecs.png,Picture Exchange Communication System,PECS,,Y,Y
NAVIGATORE,A,AS,images/browser.png,l'app visualizza raccolte di immagini di parole che si possono selezionare per formare delle semplici frasi,NAVIGATORE,,Y,Y
COMUNICATORE,N,AS,images/communicator.png,l'app visualizza le immagini (caricate dall'utente o i pittogrammi Arasaac) delle parole pronunciate dopo aver premuto il tasto ascolta,COMUNICATORE,,Y,Y
storia sociale - devi mangiare,N,AS,images/racconto.png,devi mangiare,A/DA,devi mangiare,Y,Y
fiaba - il gatto con gli stivali,A,AS,images/racconto.png,il gatto con gli stivali,A/DA,il gatto con gli stivali,Y,Y
fiaba - gatto (SOLO IMMAGINI),N,AS,images/racconto.png,il gatto con gli stivali,A/DA,il gatto con gli stivali,N,Y
storia sociale - educazione stadale,A,AS,images/racconto.png,educazione stradale,A/DA,educazionestradale,N,Y
